,number
0,9979.0
1,9891.0
2,9972.0
3,9689.0
4,9285.0
5,9231.0
6,9276.0
7,9184.0
8,9125.0
9,9236.0
10,9360.0
11,9216.0
12,9208.0
13,9179.0
14,9092.0
15,8796.0
16,8700.0
17,8804.0
18,8786.0
19,9249.0
20,9396.0
21,9446.0
22,9731.0
23,9783.0
24,9715.0
25,9618.0
26,9515.0
27,9396.0
28,9377.0
29,9361.0
30,9676.0
31,9610.0
32,9574.0
33,9651.0
34,9437.0
35,9450.0
36,9501.0
37,9426.0
38,9277.0
39,9289.0
40,9207.0
41,8900.0
42,8868.0
43,8730.0
44,8566.0
45,8803.0
46,8732.0
47,8723.0
48,8860.0
49,8840.0
50,8755.0
51,8760.0
52,8753.0
53,8726.0
54,8735.0
55,8716.0
56,8733.0
57,8758.0
58,8597.0
59,8675.0
60,8707.0
61,8651.0
62,8631.0
63,8626.0
64,8520.0
65,8643.0
66,8788.0
67,8903.0
68,8907.0
69,9004.0
70,8981.0
71,9124.0
72,9185.0
73,9624.0
74,9785.0
75,9929.0
76,10153.0
77,9703.0
78,9818.0
79,9798.0
80,9777.0
81,9890.0
82,10003.0
83,9850.0
84,9951.0
85,9719.0
86,9627.0
87,9491.0
88,9813.0
89,9687.0
90,9729.0
91,9716.0
92,9587.0
93,9610.0
94,9968.0
95,9854.0
96,9825.0
97,9913.0
98,9973.0
99,9885.0
100,9855.0
101,9977.0
102,9940.0
103,9674.0
104,9707.0
105,10020.0
106,9985.0
107,10129.0
108,10171.0
109,10127.0
110,10191.0
111,10477.0
112,10337.0
113,10509.0
114,10592.0
115,10597.0
116,9320.0
117,9256.0
118,9186.0
119,9270.0
120,9620.0
121,9608.0
122,9582.0
123,9435.0
124,9462.0
125,9500.0
126,9464.0
127,9595.0
128,9750.0
129,9729.0
130,9720.0
131,9652.0
132,9722.0
133,9867.0
134,9807.0
135,9709.0
136,9717.0
137,9840.0
138,9807.0
139,9773.0
140,9845.0
141,9729.0
142,9653.0
143,9739.0
