Date,Close
2017-07-04,12.55
2017-07-05,12.62
2017-07-06,12.66
2017-07-07,12.6
2017-07-10,12.53
2017-07-11,12.8
2017-07-12,12.86
2017-07-13,13.27
2017-07-14,13.59
2017-07-17,13.76
2017-07-18,13.55
2017-07-19,13.69
2017-07-20,13.62
2017-07-21,13.45
2017-07-24,13.67
2017-07-25,13.51
2017-07-26,13.38
2017-07-27,13.38
2017-07-28,13.47
2017-07-31,13.36
2017-08-01,13.43
2017-08-02,13.44
2017-08-03,13.08
2017-08-04,12.87
2017-08-07,12.93
2017-08-08,12.87
2017-08-09,12.76
2017-08-10,12.79
2017-08-11,12.68
2017-08-14,12.56
2017-08-15,12.59
2017-08-16,12.49
2017-08-17,12.53
2017-08-18,12.51
2017-08-21,12.51
2017-08-22,12.43
2017-08-23,12.57
2017-08-24,12.47
2017-08-25,12.78
2017-08-28,12.89
2017-08-29,12.96
2017-08-30,12.87
2017-08-31,12.71
2017-09-01,12.77
2017-09-04,12.78
2017-09-05,13.03
2017-09-06,12.96
2017-09-07,12.85
2017-09-08,13.03
2017-09-11,12.99
2017-09-12,13.04
2017-09-13,12.87
2017-09-14,12.85
2017-09-15,12.83
2017-09-18,12.91
2017-09-19,12.9
2017-09-20,12.88
2017-09-21,12.87
2017-09-22,12.89
2017-09-25,12.94
2017-09-26,12.86
2017-09-27,12.85
2017-09-28,12.84
2017-09-29,12.87
2017-10-09,13.04
2017-10-10,13.1
2017-10-11,13.06
2017-10-12,13.05
2017-10-13,12.94
2017-10-16,13.04
2017-10-17,12.99
2017-10-18,13.07
2017-10-19,13.13
2017-10-20,13.01
2017-10-23,12.84
2017-10-24,12.86
2017-10-25,12.9
2017-10-26,12.82
2017-10-27,12.85
2017-10-30,12.7
2017-10-31,12.61
2017-11-01,12.54
2017-11-02,12.53
2017-11-03,12.58
2017-11-06,12.47
2017-11-07,12.54
2017-11-08,12.58
2017-11-09,12.55
2017-11-10,12.63
2017-11-13,12.81
2017-11-14,12.6
2017-11-15,12.6
2017-11-16,12.39
