,yield
0,0.9979
1,0.9891
2,0.9972
3,0.9689
4,0.9285
5,0.9231
6,0.9276
7,0.9184
8,0.9125
9,0.9236
10,0.936
11,0.9216
12,0.9208
13,0.9179
14,0.9092
15,0.8796
16,0.87
17,0.8804
18,0.8786
19,0.9249
20,0.9396
21,0.9446
22,0.9731
23,0.9783
24,0.9715
25,0.9618
26,0.9515
27,0.9396
28,0.9377
29,0.9361
30,0.9676
31,0.961
32,0.9574
33,0.9651
34,0.9437
35,0.945
36,0.9501
37,0.9426
38,0.9277
39,0.9289
40,0.9207
41,0.89
42,0.8868
43,0.873
44,0.8566
45,0.8803
46,0.8732
47,0.8723
48,0.886
49,0.884
50,0.8755
51,0.876
52,0.8753
53,0.8726
54,0.8735
55,0.8716
56,0.8733
57,0.8758
58,0.8597
59,0.8675
60,0.8707
61,0.8651
62,0.8631
63,0.8626
64,0.852
65,0.8643
66,0.8788
67,0.8903
68,0.8907
69,0.9004
70,0.8981
71,0.9124
72,0.9185
73,0.9624
74,0.9785
75,0.9929
76,1.0153
77,0.9703
78,0.9818
79,0.9798
80,0.9777
81,0.989
82,1.0003
83,0.985
84,0.9951
85,0.9719
86,0.9627
87,0.9491
88,0.9813
89,0.9687
90,0.9729
91,0.9716
92,0.9587
93,0.961
94,0.9968
95,0.9854
96,0.9825
97,0.9913
98,0.9973
99,0.9885
100,0.9855
101,0.9977
102,0.994
103,0.9674
104,0.9707
105,1.002
106,0.9985
107,1.0129
108,1.0171
109,1.0127
110,1.0191
111,1.0477
112,1.0337
113,1.0509
114,1.0592
115,1.0597
116,0.932
117,0.9256
118,0.9186
119,0.927
120,0.962
121,0.9608
122,0.9582
123,0.9435
124,0.9462
125,0.95
126,0.9464
127,0.9595
128,0.975
129,0.9729
130,0.972
131,0.9652
132,0.9722
133,0.9867
134,0.9807
135,0.9709
136,0.9717
137,0.984
138,0.9807
139,0.9773
140,0.9845
141,0.9729
142,0.9653
143,0.9739
