date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-06-05,12.79,12.88,12.85,12.51,758764.75,-0.04,-0.31,12.85,12.85,12.85,758764.75,758764.75,758764.75
2017-06-06,12.8,12.84,12.8,12.66,361044.06,-0.05,-0.39,12.825,12.825,12.825,559904.41,559904.41,559904.41
2017-06-07,12.81,12.99,12.84,12.78,643951.94,0.04,0.31,12.83,12.83,12.83,587920.25,587920.25,587920.25
2017-06-08,12.76,12.86,12.84,12.67,481948.44,0.0,0.0,12.833,12.833,12.833,561427.3,561427.3,561427.3
2017-06-09,12.79,13.2,12.93,12.77,1144343.25,0.09,0.7,12.852,12.852,12.852,678010.49,678010.49,678010.49
2017-06-12,12.9,13.14,12.78,12.76,739311.94,-0.15,-1.16,12.838,12.84,12.84,674119.93,688227.4,688227.4
2017-06-13,12.78,12.78,12.59,12.56,527160.69,-0.19,-1.49,12.796,12.804,12.804,707343.25,665217.87,665217.87
2017-06-14,12.6,12.64,12.46,12.31,553069.81,-0.13,-1.03,12.72,12.761,12.761,689166.83,651199.36,651199.36
2017-06-15,12.41,12.46,12.38,12.28,374928.59,-0.08,-0.64,12.628,12.719,12.719,667762.86,620502.61,620502.61
2017-06-16,12.38,12.46,12.35,12.27,473510.62,-0.03,-0.24,12.512,12.682,12.682,533596.33,605803.41,605803.41
2017-06-19,12.36,12.43,12.4,12.3,329412.78,0.05,0.41,12.436,12.637,12.656,451616.5,562868.21,580676.99
2017-06-20,12.41,12.44,12.29,12.22,446451.97,-0.11,-0.89,12.376,12.586,12.626,435474.75,571409.0,569491.57
2017-06-21,12.4,12.4,12.34,12.26,340000.62,0.05,0.41,12.352,12.536,12.604,392860.92,541013.87,551838.42
2017-06-22,12.33,12.84,12.57,12.29,1102594.38,0.23,1.86,12.39,12.509,12.601,538394.07,603078.47,591178.13
2017-06-23,12.55,12.65,12.64,12.36,685790.81,0.07,0.56,12.448,12.48,12.604,580850.11,557223.22,597485.64
2017-06-26,12.64,12.82,12.64,12.55,605091.62,0.0,0.0,12.496,12.466,12.606,635985.88,543801.19,597961.02
2017-06-27,12.64,12.73,12.7,12.53,466874.75,0.06,0.47,12.578,12.477,12.612,640070.44,537772.6,590250.06
2017-06-28,12.66,12.91,12.79,12.6,753495.56,0.09,0.71,12.668,12.51,12.622,722769.42,557815.17,599319.25
2017-06-29,12.81,12.86,12.76,12.7,389945.41,-0.03,-0.23,12.706,12.548,12.629,580239.63,559316.85,588299.58
2017-06-30,12.7,12.73,12.65,12.59,365664.78,-0.11,-0.86,12.708,12.578,12.63,516214.42,548532.27,577167.84
2017-07-03,12.64,12.65,12.56,12.47,387789.5,-0.09,-0.71,12.692,12.594,12.616,472754.0,554369.94,558619.08
2017-07-04,12.55,12.58,12.55,12.41,366591.28,-0.01,-0.08,12.662,12.62,12.603,452697.31,546383.87,558896.44
2017-07-05,12.5,12.65,12.62,12.47,264705.06,0.07,0.56,12.628,12.648,12.592,354939.21,538854.32,539934.09
2017-07-06,12.62,12.72,12.66,12.51,374142.41,0.04,0.32,12.608,12.657,12.583,351778.61,466009.12,534543.79
2017-07-07,12.62,12.69,12.6,12.55,246672.94,-0.06,-0.47,12.598,12.653,12.567,327980.24,422097.33,489660.28
2017-07-10,12.59,12.64,12.53,12.52,264115.31,-0.07,-0.56,12.592,12.642,12.554,303245.4,387999.7,465900.44
2017-07-11,12.51,12.94,12.8,12.51,968353.5,0.27,2.15,12.642,12.652,12.565,423597.84,438147.58,487960.09
2017-07-12,12.8,13.06,12.86,12.74,804690.25,0.06,0.47,12.69,12.659,12.585,531594.88,443267.04,500541.11
2017-07-13,12.82,13.29,13.27,12.77,1102192.38,0.41,3.19,12.812,12.71,12.629,677204.88,514491.74,536904.3
2017-07-14,13.34,13.8,13.59,13.34,1468653.75,0.32,2.41,13.01,12.804,12.691,921601.04,624790.64,586661.45
2017-07-17,13.62,14.02,13.76,13.28,1786612.25,0.17,1.25,13.256,12.924,12.759,1226100.43,764672.91,659521.43
2017-07-18,13.65,13.72,13.55,13.4,698958.75,-0.21,-1.53,13.406,13.024,12.822,1172221.48,797909.66,672146.77
2017-07-19,13.56,13.78,13.69,13.48,661087.06,0.14,1.03,13.572,13.131,12.89,1143500.84,837547.86,688201.09
2017-07-20,13.67,13.7,13.62,13.53,400174.91,-0.07,-0.51,13.642,13.227,12.942,1003097.34,840151.11,653080.11
2017-07-21,13.61,13.63,13.45,13.38,522723.75,-0.17,-1.25,13.614,13.312,12.983,813911.34,867756.19,644926.76
2017-07-24,13.45,13.74,13.67,13.36,658209.56,0.22,1.64,13.596,13.426,13.034,588230.81,907165.62,647582.66
2017-07-25,13.62,13.75,13.51,13.41,584781.0,-0.16,-1.17,13.588,13.497,13.075,565395.26,868808.37,653477.97
2017-07-26,13.45,13.7,13.38,13.36,574953.88,-0.13,-0.96,13.526,13.549,13.104,548168.62,845834.73,644550.89
2017-07-27,13.38,13.47,13.38,13.28,336120.97,0.0,0.0,13.478,13.56,13.135,535357.83,769227.59,641859.66
2017-07-28,13.37,13.49,13.47,13.3,249549.61,0.09,0.67,13.482,13.548,13.176,480723.0,647317.17,636053.91
2017-07-31,13.45,13.52,13.36,13.31,450830.81,-0.11,-0.82,13.42,13.508,13.216,439247.25,513739.03,639205.97
2017-08-01,13.42,13.49,13.43,13.32,641980.62,0.07,0.52,13.404,13.496,13.26,450687.18,508041.22,652975.44
2017-08-02,13.44,13.6,13.44,13.39,616441.5,0.01,0.07,13.416,13.471,13.301,458984.7,503576.66,670562.26
2017-08-03,13.42,13.42,13.08,13.04,785818.69,-0.36,-2.68,13.356,13.417,13.322,548924.25,542141.04,691146.07
2017-08-04,13.09,13.1,12.87,12.85,631819.69,-0.21,-1.61,13.236,13.359,13.336,625378.26,553050.63,710403.41
2017-08-07,12.87,12.95,12.93,12.83,295284.28,0.06,0.47,13.15,13.285,13.356,594268.96,516758.11,711961.86
2017-08-08,12.91,12.93,12.87,12.83,235702.98,-0.06,-0.46,13.038,13.221,13.359,513013.43,481850.3,675329.33
2017-08-09,12.84,12.88,12.76,12.75,323038.22,-0.11,-0.85,12.902,13.159,13.354,454332.77,456658.74,651246.73
2017-08-10,12.74,12.88,12.79,12.7,440560.44,0.03,0.23,12.844,13.1,13.33,385281.12,467102.68,618165.14
2017-08-11,12.72,12.73,12.68,12.46,888900.56,-0.11,-0.86,12.806,13.021,13.285,436697.3,531037.78,589177.48
2017-08-14,12.62,12.63,12.56,12.52,455620.28,-0.12,-0.95,12.732,12.941,13.225,468764.5,531516.73,522627.88
2017-08-15,12.58,12.76,12.59,12.56,625919.06,0.03,0.24,12.676,12.857,13.177,546807.71,529910.57,518975.89
2017-08-16,12.56,12.56,12.49,12.47,338865.31,-0.1,-0.79,12.622,12.762,13.117,549973.13,502152.95,502864.81
2017-08-17,12.49,12.55,12.53,12.47,390911.56,0.04,0.32,12.57,12.707,13.062,540043.35,462662.24,502401.64
2017-08-18,12.5,12.57,12.51,12.46,359766.31,-0.02,-0.16,12.536,12.671,13.015,434216.5,435456.9,494253.77
2017-08-21,12.5,12.57,12.51,12.46,338102.38,0.0,0.0,12.526,12.629,12.957,410712.92,439738.71,478248.41
2017-08-22,12.51,12.53,12.43,12.41,588300.0,-0.08,-0.64,12.494,12.585,12.903,403189.11,474998.41,478424.36
2017-08-23,12.44,12.66,12.57,12.41,968715.88,0.14,1.13,12.51,12.566,12.863,529159.23,539566.18,498112.46
2017-08-24,12.58,12.66,12.47,12.45,621531.75,-0.1,-0.8,12.498,12.534,12.817,575283.26,557663.31,512383.0
2017-08-25,12.47,12.8,12.78,12.47,1455906.62,0.31,2.49,12.552,12.544,12.783,794511.33,614363.92,572700.85
2017-08-28,12.83,12.96,12.89,12.75,1041131.69,0.11,0.86,12.628,12.577,12.759,935117.19,672915.06,602215.89
2017-08-29,12.85,12.98,12.96,12.77,600639.56,0.07,0.54,12.734,12.614,12.736,937585.1,670387.11,600148.84
2017-08-30,12.91,12.98,12.87,12.82,604799.88,-0.09,-0.69,12.794,12.652,12.707,864801.9,696980.56,599566.76
2017-08-31,12.83,12.84,12.71,12.65,447903.12,-0.16,-1.24,12.842,12.67,12.689,830076.17,702679.72,582670.98
