,Unnamed: 0,code,3月3日,3月10日,3月17日,3月24日,3月31日,4月7日,4月14日,4月21日,4月28日,5月5日,5月12日,5月19日,5月26日,6月2日,6月9日,6月16日,6月23日,6月30日,7月7日,7月14日,7月21日,7月28日,8月4日,8月11日,8月18日,8月25日,9月1日,9月8日,9月15日,9月22日,3月4日,3月11日,3月18日,3月25日,4月1日,4月8日,4月15日,4月22日,4月29日,5月6日,5月13日,5月20日,5月27日,6月3日,6月10日,6月17日,6月24日,7月1日,7月8日,7月15日,7月22日,7月29日,8月5日,8月12日,8月19日,8月26日,9月2日,9月9日,9月16日,9月23日,1_day,2_day,3_day,4_day,5_day,6_day,7_day,8_day,9_day,10_day,11_day,12_day,13_day,14_day,15_day,16_day,17_day,18_day,19_day,20_day,21_day,22_day,23_day,24_day,25_day,26_day,27_day,28_day,29_day,30_day
0,0,600000,12.02,11.5,11.43,11.39,11.28,11.71,11.49,12.01,11.32,11.97,11.32,11.24,11.11,11.13,11.47,11.79,12.09,11.68,11.57,11.52,11.58,11.87,11.48,11.37,11.22,11.59,11.28,11.69,12.0,11.95,12.03095741,11.50397814,11.43513098,11.39213544,11.28443565,11.71817591,11.49256499,12.02176251,11.32093923,11.97591675,11.32485165,11.23933055,11.11331045,11.12891069,11.47176601,11.79762623,12.09884002,11.68467707,11.57527795,11.52352134,11.58482938,11.87660819,11.48343296,11.37316336,11.22091243,11.59426175,11.28234846,11.69435664,12.00656627,11.9568724,1.0009115981697172,1.0003459252173912,0.9943592156521739,1.000187483757682,1.0003932313829789,1.0006981989752348,1.0002232367275892,1.0009793930058286,1.0000829708480565,1.000494298245614,1.0004285909893993,0.999940440391459,1.0002979702970298,0.9999021284815812,1.0001539677419353,1.0006468388464802,1.0007311844499587,1.0004004340753425,0.9906373860959429,1.000305671875,1.0004170449050087,1.0005567135636058,1.000299038327526,1.000278219876869,1.0000813217468805,1.0003677092320966,1.0002081968085106,1.0003726809238667,1.0005471891666666,1.0005750962343096
1,1,600016,6.69,6.4,6.45,6.42,6.34,6.56,6.51,6.63,6.28,6.4,6.19,6.08,6.1,6.11,6.2,6.29,6.39,6.35,6.09,6.03,6.0,6.04,5.96,5.78,5.77,5.83,5.81,6.08,6.17,6.09,6.689543014,6.388321171,6.447273709,6.4090499329999995,6.337194877000001,6.559024037,6.503894552,6.630685929,6.262626455,6.381692031,6.192413065,6.06305051,6.102333882999999,6.0909868970000005,6.185107397,6.2898315060000005,6.376738765,6.352450547,6.059038523,6.034276018,5.988014444,6.034829031,5.947940572,5.774332444,5.75930174,5.830344459,5.794784642000001,6.083952461,6.17003397,6.081737265,0.9999316911808669,0.99817518296875,1.00738651703125,0.9982943820872273,0.9995575515772872,0.9998512251524392,0.9990621431643626,1.0001034583710409,0.9972335119426752,0.99713937984375,1.0003898327948304,0.9972122549342105,1.0003826037704917,0.9968881991816694,0.9975979672580645,0.999973212400636,0.9979246893583725,1.0003859129133859,0.9538112068989555,1.0007091240464345,0.9980024073333333,0.9991438793046358,0.9979766060402685,0.9990194539792386,0.9981458821490469,1.0000590838765009,0.9973811776247851,1.0006500758223684,1.0000055056726094,0.9986432290640395
2,2,600019,7.61,7.38,7.32,7.41,7.23,7.76,7.57,7.74,7.19,7.17,6.87,6.76,6.66,6.3,6.3,6.38,6.54,6.5,6.59,6.33,6.27,6.29,6.18,5.89,5.84,5.92,5.81,6.06,6.25,6.17,7.602458197000001,7.361016429,7.310096295,7.391083048,7.220084177,7.756252771000001,7.552028708,7.737250079,7.1679357029999995,7.14782052,6.860868821,6.735083317000001,6.649666579,6.273493997,6.274088487,6.366974945,6.516501643,6.488175678999999,6.56798895,6.3179236560000005,6.24568524,6.277923213999999,6.155858154,5.875898766000001,5.813603098,5.906571982000001,5.785163446,6.047403817,6.2388601910000006,6.1490472160000005,0.999008961498029,0.9974277004065041,0.9905279532520326,0.9974471049932523,0.9986285168741356,0.9995171096649486,0.9976259852047555,0.9996447130490955,0.9969312521557718,0.9969066276150628,0.9986708618631732,0.9963141001479292,0.9984484352852853,0.9957926979365079,0.9958870614285715,0.9979584553291536,0.9964069790519877,0.9981808736923076,1.0123013424649288,0.9980922047393366,0.9961220478468901,0.9980800022257551,0.9960935524271844,0.9976059025466895,0.9954799825342465,0.9977317537162164,0.9957252058519794,0.9979214219471948,0.9982176305600001,0.9966040868719612
3,3,600028,6.08,5.85,5.94,5.98,5.74,5.93,5.82,5.87,5.66,5.68,5.43,5.41,5.39,5.43,5.48,5.21,5.41,5.47,5.42,5.24,5.29,5.28,5.13,4.98,4.97,5.01,4.98,5.15,5.21,5.07,6.071922085,5.849664453,5.931296986,5.980376805,5.729691595,5.921272905,5.819109942000001,5.861649009,5.657779766,5.677399583,5.419084384,5.405374809,5.379233674,5.4255873,5.476283532999999,5.197323245,5.406415578,5.459510537999999,5.417298591000001,5.228378554,5.2864452889999995,5.268896208,5.125446729,4.966981139,4.964378139,4.997786433,4.974845636,5.141732591,5.199517284,5.0655145180000005,0.9986713955592105,0.9999426415384616,1.013896920683761,1.0000630108695652,0.9982041106271777,0.9985283145025297,0.999847069072165,0.9985773439522998,0.999607732508834,0.9995421801056338,0.9979897576427256,0.9991450663585951,0.9980025369202227,0.9991873480662984,0.9993218125912406,0.9975668416506718,0.9993374451016636,0.9980823652650821,0.9922681810564904,0.9977821667938931,0.9993280319470699,0.9978970090909091,0.9991124228070176,0.997385770883534,0.9988688408450704,0.9975621622754491,0.9989649871485944,0.9983946778640777,0.9979879623800383,0.9991152895463511
4,4,600029,8.39,7.81,8.18,8.23,8.55,9.65,8.7,8.88,8.04,8.48,7.62,7.14,7.15,7.19,7.06,7.09,7.58,7.72,7.77,7.44,7.6,7.34,6.97,6.49,6.68,6.76,6.57,6.95,6.99,6.83,8.380516622,7.807256474,8.16912729,8.230950481,8.540610379,9.65000274,8.70815079,8.872610597000001,8.042194041,8.486152552,7.603192182000001,7.133974506,7.12950884,7.185352351000001,7.0548293410000005,7.070453862000001,7.578556642000001,7.706293318999999,7.770833982,7.424965273,7.598106867,7.325264188999999,6.964457704,6.469610238,6.671402464,6.7424333039999995,6.562586283,6.932799005,6.97309432,6.825529735,0.9988696808104887,0.9996487162612037,1.0459830076824586,1.0001154897934388,0.9989017987134502,1.0000002839378237,1.000936872413793,0.9991678600225226,1.0002728906716418,1.0007255367924528,0.9977942496062993,0.999156093277311,0.9971341034965034,0.9993535954102921,0.9992676120396602,0.9972431399153739,0.9998095833773087,0.9982245231865284,1.0083750592312486,0.997979203360215,0.9997509035526316,0.9979923963215258,0.9992048355810618,0.9968582801232665,0.9987129437125749,0.997401376331361,0.9988715803652968,0.9975250366906474,0.9975814477825465,0.9993454956076134
5,5,600030,24.46,24.08,23.81,24.8,24.78,26.0,24.27,24.5,23.59,23.04,20.64,19.64,20.07,20.13,20.07,20.66,23.67,23.81,23.54,23.37,23.18,23.39,21.71,20.79,21.33,22.64,22.32,24.15,24.71,23.34,24.53021947,23.93194971,23.93750532,24.84315608,25.03933077,26.03721108,24.27448984,24.53562916,23.65596469,23.12802499,20.64612081,19.58928795,20.10276948,20.14362552,20.01995438,20.59917781,23.69105414,23.79895024,23.53331555,23.42797941,23.24381017,23.41866903,21.58063825,20.77580031,21.36713895,22.73851973,22.2439732,24.25379954,24.78713906,23.30683797,1.0028707878168437,0.9938517321428573,0.9940824468438538,1.001740164516129,1.0104653256658596,1.0014311953846153,1.0001849954676556,1.0014542514285714,1.0027962988554473,1.0038205290798612,1.000296550872093,0.9974179200610997,1.0016327593423018,1.000676876304024,0.9975064464374689,0.997056041142304,1.0008894862695394,0.9995359193616128,0.9888383862598471,1.0024809332477533,1.0027528114754098,1.0012256960239418,0.9940413749424228,0.9993169942279944,1.0017411603375528,1.004351578180212,0.9965937813620072,1.0042981175983436,1.0031217749898826,0.998579176092545
6,6,600031,10.72,11.08,12.38,12.87,12.78,13.36,12.98,13.13,11.92,12.25,12.45,11.7,12.03,12.07,11.95,12.79,13.13,13.08,12.87,13.13,13.61,14.65,13.93,13.48,13.26,14.11,13.47,14.75,14.75,14.82,10.72933728,11.09720494,12.46265601,12.89085959,12.82465327,13.42705479,13.07285163,13.20544857,11.91277605,12.27699439,12.485641900000001,11.67851583,12.02250319,12.03373453,11.89854873,12.79487625,13.12191696,13.15659337,12.89861374,13.19786561,13.62430487,14.68124365,13.95641751,13.49501055,13.26992481,14.15241979,13.56955602,14.78214407,14.84499186,14.84470927,1.000871014925373,1.0015527924187726,1.1247884485559567,1.0016207917637918,1.003493996087637,1.0050190711077844,1.007153438366718,1.0057462734196496,0.9993939639261745,1.0022036236734695,1.0028628032128515,0.9981637461538463,0.9993768237738987,0.9969954043082021,0.9956944543933055,1.0003812548866302,0.9993843838537699,1.0058557622324158,0.9803916087740272,1.0051687440974866,1.0010510558412933,1.0021326723549489,1.0018964472361809,1.0011135422848665,1.0007484773755655,1.0030063635719348,1.0073909443207127,1.0021792589830507,1.0064401261016949,1.0016672921727394
7,7,600036,32.9,30.78,31.67,32.35,33.92,35.59,34.8,36.0,34.36,34.45,33.61,33.31,33.6,34.21,33.9,35.35,37.69,35.98,36.47,35.4,36.37,37.22,35.75,34.99,35.16,36.27,34.28,35.89,35.29,34.51,32.92498695,30.76539265,31.68617476,32.34412309,33.98279836,35.69039922,34.81041649,36.04739048,34.2942656,34.47110512,33.62141464,33.32387601,33.61360197,34.23645282,33.927476899999995,35.36370457,37.72640188,35.98406054,36.51310252,35.42603345,36.39049711,37.26078978,35.76453109,35.01311562,35.16264987,36.30130538,34.2779695,35.91512447,35.30941768,34.509107799999995,1.000759481762918,0.999525427225471,1.029440375568551,0.9998183335394125,1.0018513667452829,1.0028209952233773,1.0002993244252876,1.001316402222222,0.9980868917345752,1.0006126304789549,1.000339620351086,1.0004165719003302,1.0004048205357141,1.0007732481730487,1.0008105280235988,1.0003876823196607,1.0009658232953038,1.000112855475264,1.0147021201070932,1.0007354081920905,1.0005635718999175,1.0010959102632995,1.000406464055944,1.0006606350385825,1.0000753660409558,1.0008631204852494,0.9999407672112017,1.0007000409584843,1.0005502317937094,0.9999741466241668
8,8,600048,13.35,13.04,13.78,13.94,14.24,14.55,13.9,14.2,13.24,13.49,12.97,12.62,12.57,12.16,12.54,12.88,13.01,12.76,13.54,13.55,14.38,14.48,13.82,13.51,13.85,14.47,13.45,13.77,14.64,14.58,13.40796686,12.93744429,13.80092323,13.90535986,14.25300387,14.53294772,13.76132472,14.11993355,13.22951736,13.48295528,12.94939429,12.5903446,12.59025374,12.14168549,12.562049400000001,12.86831095,13.05677149,12.76032449,13.54041149,13.55147386,14.35849991,14.54241166,13.76751576,13.50090641,13.85756253,14.45729935,13.37260899,13.78986805,14.62164009,14.57817747,1.0043420868913857,0.9921352983128835,1.058353008435583,0.9975150545193688,1.0009131931179776,0.998828021993127,0.990023361151079,0.9943615176056338,0.9992082598187311,0.9994777820607857,0.9984112791056284,0.9976501267828843,1.001611276054097,0.9984938725328948,1.0017583253588518,0.9990924650621117,1.0035950415065333,1.0000254302507838,1.0611337901799707,1.0001087719557196,0.9985048616133518,1.0043101975138122,0.9962022981186686,0.9993268993338269,1.0005460310469314,0.9991222771250863,0.9942460215613383,1.001442850399419,0.9987459077868852,0.9998749979423869
9,9,600050,6.55,6.47,6.91,7.0,6.79,6.91,6.62,7.15,6.71,6.67,6.07,5.85,5.72,5.93,6.08,6.07,6.27,6.16,6.2,5.96,5.93,5.96,5.71,5.29,5.63,6.05,5.85,6.19,6.43,6.19,6.562172229,6.531310812999999,6.962245059,7.042689987,6.798228077,6.935472079,6.649857989,7.154034717999999,6.745190547999999,6.681146342999999,6.099266902999999,5.857095349,5.743170653,5.936074068,6.064404907,6.0859021460000005,6.263386089,6.169925662000001,6.208261372000001,5.968417505,5.94025843,5.971890631,5.716594252999999,5.293527835,5.602736709,6.062360598,5.852164577999999,6.203089003,6.459455734,6.195315742999999,1.0018583555725191,1.0094761689335394,1.0760811528593508,1.0060985695714286,1.0012117933726068,1.0036862632416788,1.004510270241692,1.000564296223776,1.0052444929955289,1.001671115892054,1.0048215655683688,1.0012128801709401,1.0040508134615385,1.001024294772344,0.9974350175986842,1.0026197934102141,0.9989451497607656,1.001611308766234,1.0062133179717394,1.0014123330536913,1.0017299207419899,1.0019950723154363,1.001154860420315,1.0006668875236295,0.9951574971580818,1.0020430740495867,1.0003700133333333,1.0021145400646203,1.0045809850699845,1.0008587630048464
