,1,2,3,4,5,6,7,8,9,10
0,601319,601688,601601,601318,601138,600048,600340,601229,600030,600050
1,601066,600050,601319,601766,601989,601818,601390,601800,601888,600276
2,600031,600309,601318,600050,600690,600340,600196,601111,600048,600519
3,601138,600050,600837,601319,600276,601888,601989,600030,600031,600519
4,601066,601319,600030,601138,601688,600837,601800,601336,601766,601318
5,601800,601336,600031,601989,601766,600050,600690,600837,601229,600036
6,601319,601066,600031,603259,600837,600050,601989,601800,601888,601688
7,601066,600031,601211,601989,601336,601229,601888,601668,601318,601186
8,601066,600837,600050,600340,601888,601211,600030,601989,600519,601688
9,601319,601989,600837,601888,600030,601818,601688,601628,600519,600031
10,601066,601138,601319,600050,601318,601601,601229,600031,601989,601211
11,600340,601888,600519,600276,600050,601988,601989,601166,600585,601628
12,601066,600050,601318,601229,600690,601989,601888,600030,600048,600837
13,601319,601888,601601,601336,600519,601800,601989,600050,601688,600036
14,601988,601888,600048,601800,600519,601989,601166,600036,601601,600837
15,601138,601989,600050,601229,600837,601888,603259,601390,600000,601186
16,601066,600048,601888,600340,600276,601398,600519,601989,601688,600837
17,600031,600340,601138,601800,601989,600837,601888,601229,601318,601601
18,601989,601138,600048,600196,600104,600703,601668,600585,601628,600690
19,601138,600031,601989,601319,601688,601888,600837,600030,601668,600050
20,601336,600276,601318,601688,601888,600030,600887,603259,601989,601211
21,600340,601138,601066,600048,601989,601601,600837,601888,601800,600031
22,601888,600031,600519,600690,601628,600050,601166,600276,601336,600837
23,601989,601138,601888,600837,601211,600887,600031,600519,600050,600036
24,603259,601336,600276,601318,601888,600030,600519,601989,601628,600031
25,603259,601688,600030,601138,601601,601888,600519,600031,600340,601066
26,600031,601888,601336,601138,600519,600276,601989,601628,600837,601166
27,601066,601989,601138,600030,601688,601888,600519,601318,600837,600031
28,601066,601989,600031,601319,601138,600050,601318,600030,600837,601888
29,601066,603259,600340,601989,601888,601336,601398,600031,600519,600837
