,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,000717,韶钢松山,79.22,9.44,14.1042,1750.2624,0.7233,18534.1754,7.6602
1,600793,宜宾纸业,65.4,13.31,7.9084,100.6484,0.9558,755.8083,7.1776
2,600306,商业城,63.19,18.55,17.8601,114.9175,0.6451,619.3852,3.4769
3,000526,紫光学大,61.03,2.78,31.1212,63.6477,0.6616,2283.9083,23.7424
4,600768,宁波富邦,57.83,14.95,2.7349,88.3171,0.6603,590.4731,4.4148
5,600338,西藏珠峰,56.96,46.5,71.5406,824.2773,1.2622,1772.4735,2.7143
6,600319,ST亚星,54.48,0.55,10.7853,7.8932,0.025,1434.046,4.5439
7,002925,盈趣科技,52.14,32.25,48.9041,745.7341,1.9616,2311.6493,6.0807
8,300782,卓胜微,50.64,29.95,56.5553,143.8191,,480.1929,
9,002027,分众传媒,47.2,44.86,72.2835,3916.5376,0.3201,8729.5768,0.7136
10,000513,丽珠集团,40.11,65.1,65.1652,4246.2419,7.6753,6521.7448,11.7884
11,600507,方大特钢,39.93,15.2,29.445,1539.5194,1.1609,10126.9116,7.6366
12,600230,沧州大化,39.49,30.84,54.8175,964.9116,3.2799,3128.3276,10.6337
13,600161,天坛生物,35.98,80.55,56.3269,1045.7463,1.5605,1298.1108,1.9371
14,002460,赣锋锂业,33.08,35.31,37.589,1003.5302,1.3767,2841.9963,3.8989
15,600309,万华化学,32.59,20.04,39.0138,7810.996,2.8569,38963.5039,14.2513
16,601519,大智慧,32.39,93.99,56.9509,445.7811,0.2242,474.2446,0.2385
17,603871,嘉友国际,31.85,7.07,10.1528,171.7655,2.8627,2429.153,40.4858
18,000885,城发环境,31.82,15.58,42.6442,592.2230000000001,1.193,3800.8418,7.657
19,300618,寒锐钴业,31.43,32.71,50.6716,311.7877,2.5982,953.1267,7.9427
20,300176,派生科技,31.28,14.76,52.9433,280.5644,2.6152,1900.2748,17.7132
21,000820,*ST节能,29.4,35.0,55.3466,304.9786,0.4785,871.2887,1.3672
22,002920,德赛西威,29.28,10.53,26.151999999999997,468.7134,1.0415,4447.0551,9.8823
23,000932,华菱钢铁,29.2,4.58,12.2902,2571.5457,0.8527,56086.2463,18.5983
24,603165,荣晟环保,29.16,18.53,24.201,276.2556,2.1807,1490.2558,11.7639
25,000779,甘咨询,28.84,41.63,14.1845,88.7211,0.4758,213.1072,1.143
26,600581,八一钢铁,28.21,6.88,14.3792,865.2639,1.1289,12571.1508,16.4018
27,000921,海信家电,27.95,6.55,19.4081,1729.6462,1.2692,26394.2873,19.3687
28,300136,信维通信,27.83,28.8,37.3976,714.9657,0.7274,2482.0986,2.5254
29,600641,万业企业,27.7,83.18,60.0782,1596.0117,1.9797,1918.7371,2.38
30,603868,飞科电器,27.58,22.52,39.8532,599.8549,1.3769999999999998,2663.4075,6.1143
31,600380,健康元,27.4,24.67,63.9441,2025.5039,1.287,8207.87,5.2153
32,002366,台海核电,27.3,40.75,62.0122,654.385,0.7547,1605.5712,1.8517
33,600132,重庆啤酒,27.27,11.76,40.4786,316.0522,0.653,2686.9676,5.5519
34,600133,东湖高新,27.13,15.51,12.7562,734.2096,1.1575,4733.7741,7.4634
35,603260,合盛硅业,26.74,19.63,36.7738,966.2335,1.6103,4921.4523,8.2024
36,000651,格力电器,26.37,13.94,31.3731,15460.7089,2.57,110874.6787,18.4307
37,000036,华联控股,26.25,35.66,68.7997,1080.9825,0.9469,3030.6028,2.6549
38,002110,三钢闽光,26.03,15.64,22.5233,2476.3535,1.8028,15826.0315,11.5214
39,300709,精研科技,25.03,17.03,40.4901,117.6089,1.7819,690.2886,10.4589
40,002841,视源股份,24.92,7.99,21.1091,596.3033,1.4675,7462.8586,18.3672
41,300723,一品红,24.83,10.6,55.8163,110.0948,0.9174,1037.8535,8.6487
42,002517,恺英网络,24.82,50.47,65.531,1057.2957,0.7367,2094.6873,1.4597
43,603659,璞泰来,24.51,20.88,37.7595,323.9325,0.8778,1550.8452,4.2028
44,600516,方大炭素,24.47,38.61,74.6597,2019.1173,1.1287,5229.2768,2.9233
45,002120,韵达股份,24.45,17.19,30.8148,1176.0773,0.9661,6838.9398,5.6183
46,600398,海澜之家,24.22,20.13,40.4595,2512.635,0.5592,12478.2008,2.7774
47,300072,三聚环保,24.17,11.64,18.7334,1994.9034,1.1033,17136.2064,9.4775
48,000672,上峰水泥,24.09,15.49,32.3464,455.5045,0.5598,2939.4284,3.6127
49,603156,养元饮品,23.93,28.71,47.6306,1568.1853,3.168,5460.6987,11.0317
50,600618,氯碱化工,23.71,11.12,12.8396,602.0683,0.5206,5413.528,4.6813
51,600519,贵州茅台,23.68,47.07,89.9331,19983.846999999998,15.9082,42450.4675,33.7928
52,603288,海天味业,23.66,23.4,45.3832,2538.9352,0.9386,10845.8073,4.0096
53,601558,ST锐电,23.62,845.39,33.1576,367.0586,0.0608,43.4188,0.0071
54,002597,金禾实业,23.58,21.19,31.34,699.6173,1.2399,3300.6347,5.8497
55,000895,双汇发展,23.45,8.45,19.4218,3151.0387,0.9549,37270.1492,11.2954
56,600566,济川药业,23.12,21.53,85.0218,907.3166,1.1206,4213.6191,5.2044
57,002918,蒙娜丽莎,22.95,11.44,35.8936,235.9968,1.995,2062.008,17.4318
58,300288,朗玛信息,22.94,15.99,24.0817,310.2056,0.9179,1939.0313,5.7377
59,002415,海康威视,22.85,22.18,44.1839,6152.8142,0.6666,27729.7422,3.0046
60,603160,汇顶科技,22.8,26.7,47.3763,762.6313,1.6788,2855.8545,6.2868
61,300713,英可瑞,22.69,24.94,41.0316,69.4929,1.6351,278.626,6.5559
62,300504,天邑股份,22.62,10.53,26.7093,180.7659,0.9013,1715.8241,8.5553
63,002466,天齐锂业,22.58,38.34,69.7676,1518.4214,1.527,3960.0728,3.9825
64,603283,赛腾股份,22.24,17.78,51.0821,83.3424,0.6945,468.5117,3.9042
65,300156,神雾环保,21.99,20.21,32.2916,681.8336,0.675,3372.2719,3.3388
66,002008,大族激光,21.78,16.85,42.9992,1502.1541,1.4077,8914.357,8.354
67,600961,株冶集团,21.74,0.42,4.7501,43.0567,0.0816,10100.2947,19.149
68,600225,天津松江,21.69,42.17,17.3349,396.1643,0.4234,939.265,1.004
69,601003,柳钢股份,21.6,4.19,6.3087,1255.2114,0.4897,29919.0451,11.6743
70,002952,亚世光电,21.5,12.85,25.3635,48.6171,0.8411,378.0731,6.541
71,603890,春秋电子,21.4,9.28,20.8044,116.7914,1.1366,1258.0416,12.2437
72,603685,晨丰科技,21.37,15.23,27.6068,88.5457,1.1806,581.1961,7.7492
73,603986,兆易创新,21.16,22.37,38.5712,339.4564,1.6747,1517.0710000000001,7.4845
74,300731,科创新源,21.12,25.93,48.5374,46.3628,0.7108,178.7617,2.741
75,603680,今创集团,21.1,19.56,38.62,402.1503,1.0638,2055.4416,5.4376
76,000333,美的集团,21.05,8.02,25.3488,14998.175,2.2904,186948.866,28.5498
77,002016,世荣兆业,21.02,25.29,51.7737,394.6204,0.4877,1560.2512,1.9283
78,603444,吉比特,20.97,41.63,91.0648,443.4593,6.1814,1065.1534,14.8474
79,603658,安图生物,20.95,32.92,67.6379,323.6151,0.7705,982.8948,2.3402
80,300577,开润股份,20.92,11.74,31.5168,93.1949,0.7717,793.7137,6.5725
81,000567,海德股份,20.8,43.12,100.0,56.3379,0.3726,130.6396,0.8640000000000001
82,603799,华友钴业,20.76,17.86,33.2469,1097.8598,1.8523,6145.9614,10.3698
83,002833,弘亚数控,20.71,30.92,39.0165,193.6303,1.4319,626.1505,4.6304
84,300355,蒙草生态,20.65,15.63,32.6803,717.9954,0.4475,4593.1323,2.8631
85,600815,*ST厦工,20.52,3.27,9.9227,108.9504,0.1136,3330.8941,3.4734
86,002903,宇环数控,20.49,33.79,48.7736,67.2897,0.8971,199.1285,2.655
87,603466,风语筑,20.47,12.19,29.4717,147.6632,1.3672,1210.9635,11.2126
88,300415,伊之密,20.46,13.99,36.9167,204.9397,0.4743,1464.4323,3.3898
89,600887,伊利股份,20.41,9.47,37.9235,4937.2673,0.8121,52126.8956,8.5749
90,300571,平治信息,20.34,9.35,21.2151,61.3882,0.7673,656.2688,8.2033
91,002508,老板电器,20.18,19.25,56.0668,960.4336,1.012,4987.9296,5.2558
92,603661,恒林股份,20.16,11.47,27.3579,163.5791,2.181,1425.5405,19.0072
93,600477,杭萧钢构,20.16,16.75,32.3462,534.6781,0.389,3190.4343,2.3212
94,600393,粤泰股份,20.13,23.67,46.5893,1192.0341,0.4699,5034.4145,1.9849
95,000018,*ST神城,20.09,8.76,21.9403,410.4608,0.2416,4685.2075,2.7588
96,600989,宝丰能源,20.07,23.62,41.5933,2144.0043,0.3696,9075.9805,1.5648
97,000011,深物业A,20.01,21.71,46.4679,576.1666,0.9667,2652.7278,4.4510000000000005
98,600633,浙数文化,19.88,132.92,58.6668,1551.8098,1.1919,1167.3945,0.8966
99,002136,安纳达,19.8,14.49,24.3786,124.7007,0.5799,860.4097,4.0015
100,000822,山东海化,19.68,15.33,23.2619,526.3592,0.588,3431.5538,3.8337
101,600282,南钢股份,19.65,7.56,14.6091,2046.6502,0.4642,27071.7378,6.1401
102,002304,洋河股份,19.6,33.06,62.2529,5581.6621,3.7038,16878.326,11.2
103,300357,我武生物,19.44,50.57,96.9984,148.4885,0.9188,293.6224,1.8169
104,600291,西水股份,19.43,11.09,9.7942,2486.7097,2.2749,22403.7634,20.4962
105,002749,国光股份,19.25,27.24,53.3035,159.9499,2.1326,587.0593,7.8274
106,603970,中农立华,19.21,2.51,11.3306,72.5267,0.7252,2887.7377,28.8773
107,002294,信立泰,19.13,35.26,80.5105,1094.0455,1.0459,3102.0712,2.9656
108,601225,陕西煤业,19.04,20.47,54.2251,8068.3373,0.8068,39403.6142,3.9403
109,002636,金安国纪,19.03,15.25,27.1676,395.7477,0.5436,2594.9498,3.5644
110,600763,通策医疗,18.99,20.91,43.5099,181.9785,0.5675,870.1483,2.7137
111,600593,大连圣亚,18.94,29.31,67.7609,89.5339,0.9731,305.4611,3.3202
112,002916,深南电路,18.91,8.03,22.2084,338.8086,2.4235,4214.3076,30.1452
113,600690,海尔智家,18.81,4.76,29.8998,5682.3617,0.9319,119189.6136,19.5476
114,300735,光弘科技,18.78,14.25,27.8633,140.7998,0.5293,987.6899,3.7131
115,300015,爱尔眼科,18.75,14.43,48.4566,632.6929,0.4158,4382.4041,2.8802
116,002372,伟星新材,18.68,21.14,46.8968,544.7566,0.5402,2575.7235,2.5542
117,002714,牧原股份,18.63,25.32,31.3888,1812.2119,1.5643,7157.1389,6.1781
118,002323,*ST百特,18.58,18.6,34.0832,180.304,0.2417,969.3402,1.2998
119,603589,口子窖,18.49,33.18,72.0346,901.0052,1.5016,2715.2312,4.5253
